"%s","%s"
"Not verified","Not verified"
"Offline Payment","Offline Payment"
"Offline Payment Method","Offline Payment Method"
"The payment has been made successfully.","The payment has been made successfully."
"PayPal Payment","PayPal Payment"
"PayPal Payment Method","PayPal Payment Method"
"PayPal merchant email","PayPal merchant email"
"Payment Address","Payment Address"
"Payment Fee Type","Payment Fee Type"
"Payment Method","Payment Method"
"Payout Amount","Payout Amount"
"Payout type","Payout type"
"Paypal","Paypal"
"Paypal Email","Paypal Email"
"Pending","Pending"
"Period of auto payout","Period of auto payout"
"Please chose an available payment method!","Please chose an available payment method!"
"Please fill out all required fields in the form below.","Please fill out all required fields in the form below."
"Please select region, state or province","Please select region, state or province"
"Processing","Processing"
"Receive Notification Email","Receive Notification Email"
"Receive money by Recurring Payment","Receive money by Recurring Payment"
"Recurring Payment ","Recurring Payment "
"Recurring Payment Configuration","Recurring Payment Configuration"
"Recurring Payment Method","Recurring Payment Method"
"Recurring pay for account that has a pending request","Recurring pay for account that has a pending request"
"Requested Date","Requested Date"
"Require Authentication","Require Authentication"
"Required Fields","Required Fields"
"Routing Code: %s","Routing Code: %s"
"SWIFT Code: %s","SWIFT Code: %s"
"Sandbox Mode","Sandbox Mode"
"Save","Save"
"Select an address from your address book or enter a new address.","Select an address from your address book or enter a new address."
"Select an existing bank account or enter a new account.","Select an existing bank account or enter a new account."
"Select the payment method","Select the payment method"
"Send Email Notification to Affiliate","Send Email Notification to Affiliate"
"Send Email to Admins","Send Email to Admins"
"Send Request","Send Request"
"State/Province","State/Province"
"Status","Status"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Subject of notification email","Subject of notification email"
"Telephone","Telephone"
"The withdrawal requested cannot exceed your current balance (%s).","The withdrawal requested cannot exceed your current balance (%s)."
"The number of days if you chose Custom period","The number of days if you chose Custom period"
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","There is no payment method on file for your account. Please update your details or contact us to solve the problem."
"This field will be updated to your profile.","This field will be updated to your profile."
"This payment method is not available, please choose an alternative payment method.","This payment method is not available, please choose an alternative payment method."
"Transaction ID","Transaction ID"
"Transaction Id: ","Transaction Id: "
"Transfer Information","Transfer Information"
"Use Recurring Payment Moneybookers API","Use Recurring Payment Moneybookers API"
"Use Recurring Payment PayPal API","Use Recurring Payment PayPal API"
"Use your MoneyBookers Merchant Email Default on Moneybookers Config","Use your MoneyBookers Merchant Email Default on Moneybookers Config"
"Use your PayPal Merchant Email Default on Paypal Config","Use your PayPal Merchant Email Default on Paypal Config"
"Verified","Verified"
"Weekly","Weekly"
"Who pay fee","Who pay fee"
"Withdrawal Information","Withdrawal Information"
"Yearly","Yearly"
"Yes","Yes"
"Yes if you want to transfer money to your affiliate account immediately through the paygate","Yes if you want to transfer money to your affiliate account immediately through the paygate"
"You are having a pending request!","You are having a pending request!"
"You can change this email address on the Edit Account page.","You can change this email address on the Edit Account page."
"You need to upload an image of  your Bank Statement to verify your account.","You need to upload an image of  your Bank Statement to verify your account."
"You need to upload an image of your house or your address in any reasonable documents to verify your address.","You need to upload an image of your house or your address in any reasonable documents to verify your address."
"Your request has been sent to admin for approval.","Your request has been sent to admin for approval."
"Zip/Postal Code","Zip/Postal Code"
